Time  1 - default sample rate [s]	Bladder [bar]	Shell_0_L [µm/m]	Shell_0_Z [µm/m]	Shell_1_L [µm/m]	Shell_1_Z [µm/m]	Shell_2_L [µm/m]	Shell_2_Z [µm/m]	Shell_3_L [µm/m]	Shell_3_Z [µm/m]	Shell_4_Z [µm/m]	Shell_5_L [µm/m]	Shell_5_Z [µm/m]	Coil_1_Th2_up [µm/m]	Coil_1_Th3_up [µm/m]	Rod_1_TC [µm/m]	Rod_2_TC [µm/m]
1793.6	221.96	-547.78	1226.0	-490.72	1334.4	-527.68	-138.59	-333.94	1253.8	1296.8	-283.66	456.51	65.64	-252.91	-12.86	30.57	
1793.7	222.16	-548.05	1227.0	-490.96	1335.2	-528.33	-137.70	-334.23	1255.1	1297.5	-283.97	457.60	65.84	-253.45	-12.85	30.59	
1793.8	222.34	-548.26	1228.0	-491.15	1336.1	-528.87	-136.86	-334.61	1256.5	1298.5	-284.19	458.59	66.04	-253.94	-12.85	30.59	
1793.9	222.38	-548.51	1228.8	-491.30	1336.8	-529.25	-136.36	-334.98	1257.5	1299.1	-284.36	459.21	66.20	-254.27	-12.86	30.60	
1794.0	222.14	-548.91	1229.9	-491.50	1337.6	-529.66	-135.85	-335.56	1258.7	1299.9	-284.64	459.80	66.38	-254.67	-12.88	30.63	
1794.1	221.86	-549.28	1231.0	-491.70	1338.4	-529.92	-135.43	-336.13	1259.9	1300.7	-284.89	460.20	66.57	-255.01	-12.90	30.65	
1794.2	221.64	-549.58	1232.1	-491.96	1339.2	-530.06	-135.47	-336.68	1261.0	1301.3	-285.15	460.13	66.77	-255.28	-12.92	30.65	
1794.3	221.47	-549.77	1232.8	-492.19	1339.9	-530.10	-135.79	-337.06	1261.6	1301.6	-285.41	459.75	66.86	-255.44	-12.93	30.64	
1794.4	221.33	-549.95	1233.7	-492.34	1340.6	-530.17	-136.33	-337.50	1262.3	1301.9	-285.74	459.10	66.96	-255.54	-12.92	30.61	
1794.5	221.20	-550.08	1234.4	-492.36	1341.2	-530.26	-136.87	-337.77	1262.9	1302.3	-285.97	458.46	67.06	-255.57	-12.90	30.62	
1794.6	221.10	-550.18	1235.1	-492.40	1341.9	-530.19	-137.33	-337.95	1263.4	1302.8	-286.21	457.90	67.17	-255.65	-12.89	30.62	
1794.7	221.00	-550.30	1235.5	-492.48	1342.3	-530.10	-137.63	-338.09	1263.7	1303.1	-286.37	457.56	67.25	-255.70	-12.89	30.61	
1794.8	220.92	-550.49	1236.0	-492.65	1342.6	-530.12	-138.00	-338.32	1264.1	1303.4	-286.50	457.14	67.35	-255.77	-12.89	30.61	
1794.9	220.91	-550.57	1236.4	-492.73	1343.0	-530.21	-138.29	-338.56	1264.5	1303.7	-286.59	456.74	67.44	-255.87	-12.90	30.63	
1795.0	221.28	-550.52	1236.8	-492.77	1343.5	-530.26	-138.52	-338.72	1264.9	1304.1	-286.75	456.40	67.51	-255.90	-12.90	30.64	
1795.1	221.79	-550.51	1237.0	-492.81	1343.8	-530.23	-138.64	-338.82	1265.1	1304.4	-286.81	456.22	67.57	-255.89	-12.90	30.63	
1795.2	222.33	-550.61	1237.3	-492.91	1344.0	-530.22	-138.51	-339.03	1265.6	1304.9	-286.76	456.23	67.67	-255.98	-12.88	30.61	
1795.3	222.87	-550.77	1237.6	-492.99	1344.3	-530.32	-137.92	-339.36	1266.2	1305.6	-286.52	456.68	67.84	-256.22	-12.88	30.62	
1795.4	223.36	-550.92	1237.9	-493.07	1344.5	-530.45	-137.01	-339.80	1267.0	1306.4	-286.21	457.51	68.06	-256.60	-12.91	30.64	
1795.5	223.82	-551.08	1238.2	-493.11	1344.8	-530.54	-136.18	-340.16	1267.5	1307.2	-286.01	458.35	68.23	-256.99	-12.92	30.64	
1795.6	224.21	-551.39	1238.6	-493.23	1345.2	-530.66	-135.00	-340.74	1268.2	1308.0	-285.78	459.62	68.43	-257.54	-12.90	30.63	
1795.7	224.48	-551.71	1239.1	-493.41	1345.7	-530.91	-133.84	-341.48	1269.0	1308.8	-285.57	460.90	68.64	-258.08	-12.88	30.62	
1795.8	224.78	-551.95	1239.6	-493.58	1346.2	-531.24	-132.78	-342.28	1269.9	1309.5	-285.48	462.15	68.91	-258.56	-12.87	30.61	
1795.9	225.07	-552.14	1240.0	-493.72	1346.7	-531.47	-132.10	-342.85	1270.5	1310.1	-285.53	463.03	69.10	-258.93	-12.89	30.61	
1796.0	225.32	-552.40	1240.6	-493.94	1347.2	-531.83	-131.26	-343.54	1271.3	1310.9	-285.63	464.13	69.34	-259.45	-12.89	30.62	
1796.1	225.56	-552.68	1241.3	-494.18	1347.8	-532.30	-130.48	-344.19	1272.0	1311.6	-285.85	465.17	69.57	-259.99	-12.89	30.63	
1796.2	225.78	-552.95	1242.1	-494.41	1348.5	-532.75	-129.71	-344.78	1272.8	1312.3	-286.22	466.14	69.78	-260.56	-12.88	30.63	
1796.3	225.98	-553.13	1242.6	-494.61	1349.1	-533.11	-129.20	-345.19	1273.5	1312.8	-286.48	466.81	69.96	-260.99	-12.89	30.62	
1796.4	226.00	-553.36	1243.4	-494.88	1350.0	-533.60	-128.62	-345.73	1274.6	1313.6	-286.75	467.66	70.23	-261.56	-12.91	30.62	
1796.5	226.09	-553.60	1244.2	-495.18	1350.8	-534.01	-128.11	-346.25	1275.7	1314.5	-287.08	468.46	70.49	-262.18	-12.90	30.61	
1796.6	226.07	-553.86	1245.2	-495.36	1351.7	-534.42	-127.75	-346.74	1276.8	1315.4	-287.58	469.11	70.70	-262.81	-12.91	30.60	
1796.7	225.81	-554.08	1246.0	-495.50	1352.4	-534.78	-127.58	-347.04	1277.6	1316.0	-287.95	469.46	70.80	-263.21	-12.91	30.62	
1796.8	225.51	-554.36	1247.0	-495.71	1353.3	-535.27	-127.50	-347.46	1278.6	1316.7	-288.33	469.80	70.96	-263.68	-12.90	30.63	
1796.9	225.29	-554.63	1247.9	-495.81	1354.1	-535.58	-127.71	-347.81	1279.5	1317.3	-288.80	469.81	71.16	-264.06	-12.89	30.60	
1797.0	225.12	-554.88	1248.9	-495.87	1354.9	-535.72	-128.15	-348.01	1280.2	1317.7	-289.37	469.41	71.30	-264.37	-12.90	30.59	
1797.1	224.97	-554.95	1249.4	-495.93	1355.5	-535.78	-128.50	-348.08	1280.6	1318.1	-289.73	469.01	71.41	-264.57	-12.89	30.59	
1797.2	224.85	-554.99	1250.1	-496.05	1356.1	-535.85	-128.87	-348.25	1281.2	1318.6	-290.00	468.50	71.51	-264.77	-12.89	30.59	
1797.3	224.75	-555.11	1250.6	-496.23	1356.6	-535.89	-129.18	-348.49	1281.7	1319.1	-290.16	468.06	71.54	-264.91	-12.90	30.58	
1797.4	224.65	-555.19	1251.1	-496.34	1357.1	-535.93	-129.55	-348.67	1282.2	1319.6	-290.30	467.67	71.58	-265.00	-12.87	30.57	
1797.5	224.57	-555.20	1251.5	-496.37	1357.3	-535.94	-129.81	-348.69	1282.5	1319.9	-290.45	467.38	71.58	-265.06	-12.85	30.57	
1797.6	224.50	-555.20	1251.9	-496.41	1357.7	-535.91	-130.09	-348.67	1282.9	1320.3	-290.69	467.04	71.59	-265.09	-12.87	30.57	
1797.7	224.64	-555.28	1252.2	-496.51	1358.1	-535.92	-130.41	-348.76	1283.2	1320.7	-290.87	466.84	71.63	-265.11	-12.89	30.59	
1797.8	225.10	-555.43	1252.5	-496.65	1358.4	-535.97	-130.67	-348.92	1283.5	1321.0	-291.03	466.67	71.67	-265.14	-12.90	30.61	
1797.9	225.59	-555.54	1252.7	-496.71	1358.6	-536.01	-130.68	-349.04	1283.7	1321.3	-291.09	466.54	71.70	-265.21	-12.91	30.62	
1798.0	226.09	-555.63	1252.9	-496.77	1358.9	-536.12	-130.36	-349.20	1284.3	1322.0	-291.04	466.61	71.77	-265.40	-12.92	30.62	
1798.1	226.54	-555.66	1253.3	-496.85	1359.2	-536.27	-129.70	-349.36	1285.0	1322.8	-290.84	467.14	71.83	-265.72	-12.90	30.61	
1798.2	226.93	-555.76	1253.6	-496.98	1359.6	-536.44	-128.76	-349.55	1285.8	1323.6	-290.60	468.10	71.92	-266.13	-12.92	30.62	
1798.3	227.26	-555.86	1253.9	-497.06	1359.9	-536.61	-127.95	-349.78	1286.4	1324.2	-290.47	468.95	72.05	-266.47	-12.93	30.62	
1798.4	227.53	-556.09	1254.4	-497.13	1360.3	-536.86	-126.87	-350.21	1287.1	1325.0	-290.45	470.22	72.24	-266.91	-12.92	30.61	
1798.5	227.72	-556.25	1255.0	-497.16	1360.8	-537.23	-125.81	-350.61	1287.8	1325.8	-290.51	471.62	72.38	-267.41	-12.90	30.58	
1798.6	227.96	-556.33	1255.5	-497.29	1361.4	-537.74	-124.90	-350.89	1288.5	1326.5	-290.65	472.93	72.57	-267.93	-12.88	30.57	
1798.7	228.19	-556.42	1255.9	-497.50	1361.9	-538.19	-124.36	-351.05	1289.0	1327.1	-290.87	473.79	72.72	-268.28	-12.88	30.59	
1798.8	228.39	-556.56	1256.5	-497.77	1362.5	-538.89	-123.69	-351.32	1289.8	1327.7	-291.28	474.80	72.89	-268.69	-12.89	30.61	
1798.9	228.59	-556.67	1257.2	-497.97	1363.2	-539.52	-122.97	-351.63	1290.6	1328.4	-291.61	475.73	73.06	-269.04	-12.91	30.62	
1799.0	228.78	-556.86	1257.8	-498.10	1363.9	-540.12	-122.28	-351.93	1291.5	1329.1	-292.00	476.62	73.21	-269.41	-12.92	30.60	
1799.1	228.95	-557.02	1258.3	-498.20	1364.4	-540.56	-121.85	-352.16	1292.3	1329.7	-292.35	477.27	73.29	-269.73	-12.91	30.60	
1799.2	229.09	-557.20	1259.1	-498.42	1365.2	-541.15	-121.28	-352.41	1293.3	1330.6	-292.76	478.17	73.37	-270.10	-12.90	30.61	
1799.3	229.00	-557.41	1260.0	-498.66	1366.0	-541.75	-120.69	-352.66	1294.5	1331.5	-293.10	478.91	73.48	-270.43	-12.89	30.62	
1799.4	229.12	-557.68	1260.9	-498.90	1366.9	-542.35	-120.25	-352.94	1295.5	1332.4	-293.51	479.47	73.59	-270.79	-12.89	30.60	
1799.5	229.05	-557.86	1261.5	-499.10	1367.6	-542.74	-120.11	-353.18	1296.3	1333.0	-293.84	479.76	73.66	-270.95	-12.88	30.59	
1799.6	228.82	-558.08	1262.5	-499.31	1368.5	-543.15	-119.93	-353.47	1297.3	1333.9	-294.24	480.05	73.75	-271.11	-12.86	30.60	
1799.7	228.61	-558.28	1263.5	-499.46	1369.4	-543.46	-119.81	-353.74	1298.2	1334.6	-294.54	480.25	73.82	-271.29	-12.87	30.59	
1799.8	228.45	-558.44	1264.4	-499.63	1370.1	-543.72	-120.06	-353.89	1299.1	1335.2	-294.92	480.14	73.85	-271.41	-12.88	30.58	
1799.9	228.31	-558.58	1265.1	-499.72	1370.7	-543.90	-120.42	-354.00	1299.6	1335.6	-295.26	479.85	73.82	-271.46	-12.88	30.57	
1800.0	228.19	-558.74	1265.8	-499.82	1371.4	-544.08	-120.86	-354.21	1300.3	1336.1	-295.67	479.36	73.74	-271.49	-12.88	30.58	
1800.1	228.03	-558.82	1266.4	-499.92	1371.9	-544.15	-121.21	-354.39	1300.8	1336.8	-295.98	478.92	73.66	-271.49	-12.90	30.60	
1800.2	227.90	-558.84	1267.0	-499.99	1372.5	-544.19	-121.53	-354.55	1301.3	1337.4	-296.24	478.58	73.63	-271.50	-12.92	30.60	
1800.3	227.81	-558.88	1267.3	-500.05	1372.8	-544.24	-121.81	-354.62	1301.6	1337.8	-296.40	478.35	73.64	-271.50	-12.91	30.59	
1800.4	227.73	-559.00	1267.8	-500.15	1373.3	-544.32	-122.17	-354.70	1301.9	1338.2	-296.55	478.05	73.60	-271.44	-12.90	30.59	
1800.5	227.66	-559.11	1268.2	-500.28	1373.7	-544.34	-122.47	-354.82	1302.3	1338.7	-296.69	477.69	73.54	-271.33	-12.89	30.59	
1800.6	227.59	-559.15	1268.5	-500.36	1374.1	-544.35	-122.70	-354.95	1302.7	1339.2	-296.82	477.36	73.46	-271.31	-12.89	30.60	
1800.7	227.53	-559.17	1268.7	-500.39	1374.3	-544.36	-122.80	-355.02	1303.0	1339.4	-296.91	477.14	73.39	-271.33	-12.90	30.60	
1800.8	227.48	-559.27	1269.0	-500.45	1374.6	-544.38	-122.96	-355.17	1303.3	1339.8	-297.08	476.85	73.34	-271.33	-12.89	30.60	
1800.9	227.42	-559.43	1269.2	-500.53	1374.9	-544.44	-123.24	-355.35	1303.6	1340.0	-297.18	476.62	73.35	-271.31	-12.90	30.58	
1801.0	227.38	-559.44	1269.3	-500.60	1375.1	-544.45	-123.46	-355.45	1303.9	1340.4	-297.22	476.41	73.33	-271.33	-12.92	30.59	
1801.1	227.41	-559.43	1269.5	-500.67	1375.2	-544.42	-123.55	-355.47	1304.1	1340.6	-297.31	476.25	73.27	-271.31	-12.91	30.59	
1801.2	227.80	-559.46	1269.8	-500.74	1375.5	-544.41	-123.68	-355.53	1304.3	1340.9	-297.43	476.07	73.25	-271.21	-12.90	30.59	
1801.3	228.29	-559.52	1270.1	-500.78	1375.7	-544.41	-123.79	-355.62	1304.5	1341.2	-297.47	475.99	73.29	-271.13	-12.91	30.61	
1801.4	228.79	-559.64	1270.2	-500.84	1375.9	-544.51	-123.53	-355.76	1304.9	1341.8	-297.39	476.16	73.34	-271.22	-12.90	30.63	
1801.5	229.27	-559.73	1270.4	-500.92	1376.1	-544.64	-123.04	-355.86	1305.3	1342.3	-297.26	476.50	73.38	-271.43	-12.87	30.64	
1801.6	229.69	-559.83	1270.6	-501.03	1376.4	-544.82	-122.18	-356.07	1306.0	1343.0	-297.00	477.23	73.47	-271.71	-12.86	30.65	
1801.7	230.04	-559.92	1270.9	-501.13	1376.7	-544.99	-121.19	-356.35	1306.6	1343.7	-296.72	478.25	73.62	-272.06	-12.90	30.64	
1801.8	230.35	-560.01	1271.2	-501.25	1377.0	-545.23	-120.10	-356.63	1307.3	1344.4	-296.57	479.47	73.84	-272.39	-12.90	30.64	
1801.9	230.61	-560.09	1271.5	-501.31	1377.3	-545.50	-119.31	-356.83	1307.7	1345.0	-296.57	480.45	73.96	-272.65	-12.87	30.64	
1802.0	230.79	-560.23	1271.9	-501.45	1377.7	-545.98	-118.32	-357.09	1308.3	1345.6	-296.65	481.77	74.06	-273.08	-12.87	30.62	
1802.1	230.99	-560.36	1272.4	-501.64	1378.2	-546.57	-117.36	-357.35	1308.8	1346.2	-296.88	483.02	74.18	-273.58	-12.88	30.61	
1802.2	231.20	-560.48	1272.8	-501.80	1378.7	-547.13	-116.61	-357.50	1309.4	1346.7	-297.24	484.10	74.33	-274.03	-12.89	30.61	
1802.3	231.39	-560.57	1273.2	-501.94	1379.2	-547.53	-116.15	-357.59	1310.0	1347.2	-297.48	484.81	74.43	-274.27	-12.90	30.60	
1802.4	231.58	-560.65	1273.7	-502.16	1379.8	-548.05	-115.50	-357.71	1310.7	1347.8	-297.77	485.69	74.53	-274.52	-12.88	30.59	
1802.5	231.75	-560.78	1274.3	-502.34	1380.3	-548.64	-114.86	-357.91	1311.6	1348.5	-298.10	486.54	74.60	-274.80	-12.85	30.58	
1802.6	231.89	-560.96	1274.9	-502.47	1380.9	-549.23	-114.26	-358.18	1312.5	1349.2	-298.46	487.29	74.71	-275.17	-12.84	30.57	
1802.7	232.03	-561.13	1275.4	-502.57	1381.4	-549.65	-113.87	-358.41	1313.2	1349.7	-298.71	487.82	74.84	-275.44	-12.86	30.57	
1802.8	232.11	-561.37	1276.1	-502.77	1382.2	-550.16	-113.42	-358.72	1314.1	1350.5	-299.06	488.49	74.98	-275.69	-12.89	30.60	
1802.9	231.96	-561.61	1276.8	-502.95	1382.9	-550.68	-112.99	-359.01	1315.1	1351.4	-299.38	489.06	75.04	-275.89	-12.88	30.61	
1803.0	232.10	-561.84	1277.6	-503.14	1383.6	-551.20	-112.67	-359.28	1316.1	1352.2	-299.71	489.56	75.16	-276.12	-12.87	30.61	
1803.1	232.07	-562.01	1278.2	-503.32	1384.2	-551.53	-112.60	-359.45	1316.8	1352.7	-300.00	489.81	75.24	-276.24	-12.88	30.61	
1803.2	231.86	-562.18	1279.0	-503.54	1385.0	-551.91	-112.48	-359.66	1317.7	1353.3	-300.37	490.04	75.27	-276.33	-12.91	30.60	
1803.3	231.66	-562.30	1279.9	-503.67	1385.8	-552.24	-112.35	-359.91	1318.5	1354.0	-300.63	490.23	75.26	-276.39	-12.89	30.58	
1803.4	231.49	-562.39	1280.8	-503.82	1386.5	-552.50	-112.49	-360.16	1319.2	1354.6	-300.96	490.08	75.27	-276.41	-12.88	30.60	
1803.5	231.35	-562.52	1281.4	-503.97	1387.0	-552.66	-112.75	-360.31	1319.6	1354.9	-301.24	489.80	75.27	-276.36	-12.89	30.61	
1803.6	231.22	-562.66	1282.0	-504.05	1387.6	-552.80	-113.19	-360.46	1320.2	1355.5	-301.55	489.41	75.27	-276.31	-12.91	30.62	
1803.7	231.12	-562.75	1282.5	-504.13	1388.1	-552.84	-113.54	-360.55	1320.8	1356.1	-301.81	489.07	75.21	-276.26	-12.90	30.62	
1803.8	231.03	-562.86	1283.0	-504.31	1388.6	-552.90	-113.83	-360.70	1321.3	1356.5	-302.04	488.74	75.09	-276.19	-12.89	30.62	
1803.9	230.95	-562.92	1283.3	-504.38	1388.9	-552.93	-114.03	-360.77	1321.7	1356.9	-302.19	488.47	75.04	-276.16	-12.89	30.61	
1804.0	230.87	-562.97	1283.8	-504.41	1389.3	-552.94	-114.28	-360.83	1322.1	1357.3	-302.36	488.17	75.04	-276.10	-12.90	30.61	
1804.1	230.80	-563.05	1284.3	-504.41	1389.7	-552.98	-114.55	-360.94	1322.5	1357.7	-302.50	487.91	75.01	-276.04	-12.90	30.64	
1804.2	230.73	-563.11	1284.6	-504.48	1390.1	-553.03	-114.80	-361.08	1322.8	1358.0	-302.66	487.67	74.92	-276.01	-12.90	30.65	
1804.3	230.67	-563.14	1284.8	-504.60	1390.3	-553.02	-114.95	-361.21	1323.0	1358.4	-302.77	487.48	74.89	-276.03	-12.89	30.65	
1804.4	230.61	-563.22	1285.1	-504.68	1390.7	-552.96	-115.14	-361.32	1323.3	1358.8	-302.83	487.28	74.90	-276.02	-12.88	30.63	
1804.5	230.56	-563.24	1285.3	-504.68	1391.0	-552.98	-115.30	-361.34	1323.6	1359.1	-302.90	487.17	74.90	-275.93	-12.88	30.61	
1804.6	230.51	-563.27	1285.6	-504.69	1391.2	-553.04	-115.47	-361.35	1323.8	1359.4	-303.03	486.95	74.82	-275.89	-12.89	30.59	
1804.7	230.45	-563.27	1285.8	-504.74	1391.3	-553.07	-115.61	-361.39	1324.0	1359.7	-303.12	486.72	74.75	-275.90	-12.91	30.60	
1804.8	230.35	-563.27	1286.0	-504.83	1391.5	-553.10	-115.79	-361.50	1324.2	1360.0	-303.17	486.48	74.71	-275.89	-12.93	30.62	
1804.9	230.29	-563.30	1286.1	-504.86	1391.7	-553.11	-115.95	-361.62	1324.4	1360.2	-303.22	486.32	74.67	-275.88	-12.91	30.63	
1805.0	230.25	-563.35	1286.3	-504.90	1391.9	-553.12	-116.11	-361.69	1324.6	1360.3	-303.37	486.17	74.58	-275.83	-12.89	30.63	
1805.1	230.21	-563.39	1286.4	-504.96	1392.0	-553.12	-116.20	-361.75	1324.7	1360.5	-303.48	486.03	74.53	-275.81	-12.89	30.63	
1805.2	230.18	-563.45	1286.5	-505.01	1392.3	-553.15	-116.29	-361.84	1324.9	1360.8	-303.53	485.85	74.53	-275.77	-12.91	30.61	
1805.3	230.13	-563.50	1286.7	-505.09	1392.5	-553.22	-116.40	-361.96	1325.0	1361.1	-303.52	485.73	74.57	-275.71	-12.92	30.59	
1805.4	230.10	-563.51	1286.9	-505.16	1392.6	-553.24	-116.58	-362.05	1325.1	1361.3	-303.58	485.63	74.54	-275.67	-12.92	30.57	
1805.5	230.08	-563.48	1287.1	-505.17	1392.7	-553.16	-116.68	-362.08	1325.3	1361.4	-303.63	485.51	74.52	-275.66	-12.92	30.59	
1805.6	230.05	-563.52	1287.2	-505.15	1392.9	-553.09	-116.75	-362.10	1325.5	1361.5	-303.71	485.35	74.54	-275.64	-12.93	30.61	
1805.7	230.03	-563.66	1287.3	-505.23	1393.0	-553.13	-116.82	-362.15	1325.5	1361.8	-303.80	485.27	74.56	-275.60	-12.92	30.63	
1805.8	230.10	-563.72	1287.4	-505.32	1393.2	-553.18	-116.95	-362.19	1325.6	1362.0	-303.88	485.19	74.54	-275.57	-12.91	30.63	
1805.9	230.51	-563.73	1287.4	-505.33	1393.2	-553.24	-117.06	-362.25	1325.7	1362.1	-303.87	485.11	74.49	-275.55	-12.89	30.64	
1806.0	231.02	-563.70	1287.4	-505.30	1393.4	-553.28	-117.04	-362.32	1325.9	1362.3	-303.83	485.05	74.47	-275.52	-12.88	30.63	
1806.1	231.53	-563.72	1287.5	-505.37	1393.5	-553.35	-116.66	-362.33	1326.4	1362.7	-303.79	485.16	74.55	-275.60	-12.88	30.62	
1806.2	232.03	-563.80	1287.6	-505.50	1393.6	-553.47	-116.03	-362.40	1326.8	1363.2	-303.64	485.63	74.68	-275.83	-12.91	30.61	
1806.3	232.47	-563.92	1287.8	-505.57	1393.7	-553.56	-115.39	-362.55	1327.2	1363.7	-303.43	486.23	74.80	-276.02	-12.92	30.59	
1806.4	232.85	-564.05	1288.1	-505.61	1393.9	-553.68	-114.32	-362.81	1327.8	1364.4	-303.11	487.27	74.91	-276.28	-12.91	30.58	
1806.5	233.17	-564.10	1288.3	-505.70	1394.2	-553.90	-113.17	-363.11	1328.3	1365.0	-302.90	488.48	75.02	-276.63	-12.90	30.57	
1806.6	233.45	-564.19	1288.6	-505.83	1394.5	-554.20	-112.07	-363.38	1328.9	1365.5	-302.85	489.76	75.20	-277.05	-12.90	30.57	
1806.7	233.64	-564.29	1288.8	-505.93	1394.7	-554.49	-111.31	-363.55	1329.2	1366.0	-302.91	490.76	75.35	-277.37	-12.92	30.58	
1806.8	233.80	-564.44	1289.1	-506.05	1395.1	-555.00	-110.42	-363.73	1329.7	1366.5	-303.00	492.09	75.53	-277.83	-12.92	30.59	
1806.9	233.99	-564.56	1289.4	-506.13	1395.5	-555.55	-109.63	-363.80	1330.2	1367.1	-303.15	493.28	75.66	-278.24	-12.92	30.60	
1807.0	234.17	-564.65	1289.9	-506.22	1396.0	-556.09	-108.97	-363.84	1330.7	1367.7	-303.37	494.29	75.79	-278.56	-12.92	30.61	
1807.1	234.34	-564.72	1290.3	-506.29	1396.3	-556.47	-108.50	-363.90	1331.1	1368.1	-303.57	494.97	75.87	-278.77	-12.92	30.62	
1807.2	234.51	-564.80	1290.7	-506.43	1396.7	-556.94	-107.91	-364.03	1331.7	1368.5	-303.81	495.78	75.93	-279.06	-12.92	30.64	
1807.3	234.66	-564.91	1291.1	-506.64	1397.1	-557.44	-107.41	-364.25	1332.2	1368.8	-304.00	496.55	76.02	-279.34	-12.92	30.65	
1807.4	234.80	-565.07	1291.5	-506.75	1397.5	-557.94	-106.90	-364.52	1332.9	1369.3	-304.26	497.24	76.11	-279.61	-12.92	30.64	
1807.5	234.93	-565.18	1291.9	-506.81	1398.0	-558.29	-106.46	-364.70	1333.5	1369.8	-304.56	497.72	76.18	-279.79	-12.90	30.62	
1807.6	235.05	-565.30	1292.4	-506.96	1398.6	-558.80	-105.91	-364.95	1334.3	1370.4	-304.97	498.36	76.29	-280.06	-12.88	30.61	
1807.7	235.08	-565.47	1292.9	-507.20	1399.1	-559.31	-105.46	-365.21	1335.1	1371.0	-305.27	498.92	76.38	-280.29	-12.87	30.60	
1807.8	234.91	-565.61	1293.5	-507.47	1399.7	-559.79	-105.14	-365.46	1335.8	1371.6	-305.53	499.42	76.46	-280.50	-12.87	30.59	
1807.9	235.02	-565.73	1294.0	-507.63	1400.1	-560.08	-104.94	-365.64	1336.5	1372.0	-305.75	499.69	76.51	-280.66	-12.89	30.59	
1808.0	235.06	-565.92	1294.6	-507.72	1400.8	-560.38	-104.79	-365.87	1337.2	1372.6	-306.13	499.82	76.54	-280.77	-12.90	30.58	
1808.1	234.88	-566.10	1295.3	-507.75	1401.4	-560.72	-104.72	-366.05	1338.0	1373.1	-306.49	499.99	76.57	-280.80	-12.89	30.59	
1808.2	234.69	-566.25	1296.0	-507.88	1402.0	-561.05	-104.67	-366.23	1338.8	1373.7	-306.80	500.31	76.59	-280.87	-12.88	30.59	
1808.3	234.52	-566.34	1296.4	-508.04	1402.4	-561.23	-104.78	-366.39	1339.3	1374.1	-307.03	500.31	76.57	-280.91	-12.87	30.60	
1808.4	234.38	-566.43	1297.1	-508.19	1402.9	-561.40	-105.05	-366.56	1339.8	1374.6	-307.32	500.04	76.60	-280.90	-12.88	30.63	
1808.5	234.26	-566.54	1297.7	-508.28	1403.5	-561.56	-105.36	-366.69	1340.3	1374.9	-307.57	499.73	76.61	-280.83	-12.89	30.63	
1808.6	234.15	-566.55	1298.3	-508.33	1404.0	-561.66	-105.70	-366.71	1340.8	1375.3	-307.81	499.37	76.53	-280.79	-12.90	30.62	
1808.7	234.06	-566.59	1298.7	-508.34	1404.4	-561.68	-105.94	-366.75	1341.1	1375.6	-308.02	499.13	76.47	-280.73	-12.90	30.62	
1808.8	233.98	-566.76	1299.2	-508.40	1404.8	-561.73	-106.24	-366.91	1341.5	1376.0	-308.25	498.80	76.38	-280.70	-12.91	30.62	
1808.9	233.90	-566.94	1299.5	-508.55	1405.1	-561.82	-106.50	-367.07	1341.8	1376.4	-308.39	498.47	76.35	-280.68	-12.93	30.61	
1809.0	233.83	-567.01	1299.9	-508.66	1405.4	-561.92	-106.79	-367.15	1342.2	1376.7	-308.53	498.18	76.32	-280.61	-12.91	30.63	
1809.1	233.77	-567.03	1300.2	-508.70	1405.6	-561.98	-106.97	-367.18	1342.4	1377.0	-308.63	497.97	76.27	-280.57	-12.90	30.62	
1809.2	233.71	-567.07	1300.5	-508.75	1405.9	-561.97	-107.17	-367.25	1342.7	1377.3	-308.72	497.77	76.24	-280.55	-12.90	30.61	
1809.3	233.65	-567.16	1300.9	-508.80	1406.3	-561.92	-107.35	-367.29	1342.9	1377.6	-308.87	497.65	76.20	-280.56	-12.90	30.59	
1809.4	233.60	-567.21	1301.1	-508.86	1406.7	-561.92	-107.44	-367.33	1343.2	1378.0	-309.04	497.45	76.15	-280.54	-12.89	30.59	
1809.5	233.56	-567.26	1301.2	-508.90	1406.9	-561.93	-107.51	-367.43	1343.4	1378.2	-309.15	497.22	76.09	-280.53	-12.88	30.60	
1809.6	233.51	-567.31	1301.4	-508.96	1407.0	-561.94	-107.68	-367.58	1343.7	1378.5	-309.23	496.94	76.01	-280.48	-12.86	30.61	
1809.7	233.47	-567.37	1301.7	-509.07	1407.2	-561.94	-107.90	-367.63	1343.9	1378.7	-309.27	496.78	76.02	-280.40	-12.87	30.60	
1809.8	233.43	-567.41	1301.9	-509.20	1407.4	-561.96	-108.12	-367.69	1344.1	1378.9	-309.35	496.66	76.06	-280.32	-12.88	30.57	
1809.9	233.39	-567.45	1302.1	-509.21	1407.6	-561.97	-108.20	-367.75	1344.3	1379.1	-309.40	496.57	76.07	-280.27	-12.87	30.57	
1810.0	233.36	-567.53	1302.3	-509.20	1407.8	-562.01	-108.27	-367.84	1344.5	1379.4	-309.47	496.44	76.07	-280.25	-12.88	30.59	
1810.1	233.32	-567.55	1302.4	-509.25	1407.9	-562.08	-108.40	-367.91	1344.7	1379.7	-309.58	496.30	76.02	-280.31	-12.90	30.62	
1810.2	233.29	-567.56	1302.4	-509.32	1408.0	-562.15	-108.49	-367.93	1344.8	1379.8	-309.62	496.25	76.04	-280.33	-12.91	30.63	
